Time,TPS,Latency
14.952245,8780.392646,1.000000
14.952600,8780.628513,1.000000
14.952669,8781.284465,1.000000
14.952749,8781.746874,1.000000
14.952823,8782.349446,1.000000
14.952913,8781.289911,1.000000
14.953062,8781.750551,1.000000
14.953137,8782.378584,1.000000
14.953306,8783.000468,1.000000
14.953318,8783.625478,1.000000
14.953374,8784.241621,1.000000
14.953478,8784.822972,1.000000
14.954432,8785.447666,1.000000
14.954511,8786.017099,1.000000
14.954564,8786.678771,1.000000
14.955099,8787.314439,1.000000
14.955174,8787.922163,1.000000
14.955765,8788.029977,1.000000
14.956714,8788.652541,1.000000
14.963477,8789.290061,1.000000
14.963525,8789.644499,1.000000
14.966529,8790.268937,1.000000
14.967483,8790.589994,1.000000
14.967919,8790.700756,1.000000
14.968006,8787.396333,1.000000
14.968298,8788.036462,1.000000
14.968339,8786.940341,1.000000
14.968504,8787.048441,1.000000
14.970598,8787.460873,1.000000
14.970617,8788.077521,1.000000
14.970628,8788.574310,1.000000
14.970644,8789.218583,1.000000
14.970918,8789.789792,1.000000
14.970654,8789.227789,1.000000
14.970837,8789.884683,1.000000
14.970731,8790.546371,1.000000
14.970970,8791.204974,1.000000
14.970996,8793.715850,1.000000
14.971041,8791.867271,1.000000
14.971110,8793.095683,1.000000
14.971146,8792.489629,1.000000
14.971182,8794.353583,1.000000
14.971206,8795.005901,1.000000
14.971251,8795.647323,1.000000
14.971234,8796.274665,1.000000
14.971312,8796.921685,1.000000
14.971336,8797.568262,1.000000
14.971375,8798.222670,1.000000
